"source","canonical_url","ppid","PAName","Heading","islive","isnew","showInCatalog","Summary","Vertical","Solutions","Platform","Product","ProductType","Image1Url","DetailPage","Status","externalUrl","isRedirected","rm_Status","rm_Public_Site_Link","rm_Production_Link","rm_Final_Content_Type","rm_Drupal_Page_URL","rm_RHAC_page","rm_Final_Demo_Title","rm_Publish_states","rm_Featured_Start_Date","rm_Featured_End_Date","rm_Origin_Type","rm_Primary_Product","rm_Product","rm_Marketing_Program","rm_TDP","rm_Sales_Tactic","rm_Verticals","rm_Event","rm_Primary_Audience","rm_Personas","rm_Pain_Points","rm_Creator_Name","rm_Creator_Team","rm_Quarter","rm_Demo_Description","rm_Demo_Description_(Gemini_generated)","rm_Language","rm_Duration","rm_SEOWords","rm_CTALink","rm_Join_Key","rm_Number","rm_Metadata"
"PAList only","https://www.redhat.com/architect/portfolio/detail/999-tab-test","999","999-tab-test","Tab Usage Guide - Custom Tab Syntax","TRUE","FALSE","FALSE","Team reference guide demonstrating custom <tab> syntax for architecture documentation. Shows how to create interactive tabs using XML-like markup in AsciiDoc files.","All","ApplicationPlatform","","OpenShift","PA","intro-marketectures/cloud-sovereignty-marketing-slide.png","999-tab-test.adoc","Active","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAList only","https://www.redhat.com/architect/portfolio/detail/rhacs-multitenant","275","275-rhacs-multitenant","Multitenant Setup for Red Hat Advanced Cluster Security","TRUE","FALSE","TRUE","RHACS architecture that secures multitenant OpenShift via test, soft-tenancy management, and hard-tenancy instances for policies, compliance, and vulnerability management.","FSI, Healthcare, Government","ApplicationPlatform, ContainerManagement","On-Premise","OpenShift, ACS","PA","intro-marketectures/rhacs-multitenant.png","rhacs-multitenant.adoc","Active","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAList only","https://www.redhat.com/architect/portfolio/detail/protect-your-virtual-machines-on-red-hat-openshift-with-veeam-kasten","274","274-protect-your-virtual-machines-on-red-hat-openshift-with-veeam-kasten","Protect your virtual machines on Red Hat OpenShift with Veeam Kasten","TRUE","FALSE","TRUE","See how Veeam Kasten integrates through an operator to manage VM backup and restore operations.","All","Virtualization","","OpenShift Virtualization","Demo","intro-marketectures/protect-your-virtual-machines-on-red-hat-openshift-with-veeam-kasten.png","protect-your-virtual-machines-on-red-hat-openshift-with-veeam-kasten.adoc","Active","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAList only","https://www.redhat.com/architect/portfolio/detail/rh-netris-osac-architecture","273","273-rh-netris-osac-architecture","Open Sovereign AI Cloud with Red Hat and Netris","TRUE","FALSE","TRUE","Combine hardware-enforced multi-tenant network isolation with automated provisioning and built-in compliance, without hyperscaler APIs or proprietary infrastructure.","All","ApplicationPlatform, Automation, Virtualization","","ACM, Ansible,OpenShift,Quay,RHEL, OpenShift Virtualization,ACS","PA","intro-marketectures/sovereign-ai-factory.png","rh-netris-osac-architecture.adoc","Active","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAList+RM","https://www.redhat.com/en/interactive-demo/omnicloud-service","272","272-omnicloud-as-a-service-interactive-experience","Omnicloud-as-a-Service","TRUE","FALSE","FALSE","Discover Red Hat + Accenture Omnicloud-as-a-Service for secure, sovereign cloud infrastructure deployment. Learn how developers can provision the infrastructure they need while maintaining data sovereignty, security compliance, and cloud independence across hybrid environments.","All","Application Platform","","","IE","","IE/omnicloud-as-a-service-interactive-experience.adoc","Active","","TRUE","IE Published","https://www.redhat.com/architect/portfolio/detail/272-omnicloud-as-a-service-interactive-experience","","","https://www.redhat.com/en/interactive-demo/omnicloud-service","https://www.redhat.com/architect/portfolio/detail/272-omnicloud-as-a-service-interactive-experience","Omnicloud-as-a-Service","","","","2026Summit manually added","Red Hat AI","","","Application Platform","","","","","","","Ricardo Garcia Cavero","Portfolio Technical Marketing and Platforms","CY26Q2","Discover how Red Hat + Accenture Omnicloud-as-a-Service enables developers to deploy the infrastructure they need in a secure, sovereign cloud environment.","This interactive demo helps users efficiently provision and manage multi-cloud OpenShift clusters and their associated applications. It walks through the full experience of leveraging automation to deploy a validated pattern from start to finish. • Reviewing the GitHub repository for the Omnicloud-as-a-Service Validated Pattern, including `ansible` and `charts` folders. • Identifying hub cluster applications like Advanced Cluster Manager for Kubernetes (ACM) and Ansible Automation Platform (AAP) in `values-hub.yaml`. • Identifying user cluster applications such as Nexus repository, Sonarqube, and Selenium Grid in `values-devops.yaml`. • Accessing the Red Hat OpenShift hub cluster console and verifying installed operators for AAP, OpenShift GitOps, and Validated Patterns. • Creating a user cluster on Azure using an Ansible Automation Platform job template, specifying cluster name, compute nodes, and instance types. • Monitoring the cluster deployment status and logs in the Ansible Automation Platform and Advanced Cluster Manager (ACM) consoles. • Viewing the deployed user cluster's nodes and applications within its OpenShift and OpenShift GitOps (Argo CD) consoles. • Accessing deployed applications like Sonarqube, Nexus Repository, and Selenium Grid via their URLs.","","","","","Omnicloud-as-a-Service","320",""
"PAList+RM","https://www.redhat.com/en/interactive-demo/centralize-company-knowledge-enterprise-rag-chatbot","271","271-enterprise-rag-chatbot-interactive-experience","Centralize company knowledge with an Enterprise RAG Chatbot","TRUE","FALSE","FALSE","Explore enterprise RAG chatbot architecture using retrieval-augmented generation to enhance large language models with specialized data sources. See how to build intelligent AI systems that deliver accurate, context-aware responses grounded in your organization's knowledge base.","All","AI Platform","","","IE","","IE/enterprise-rag-chatbot-interactive-experience.adoc","Active","","TRUE","IE Published","https://www.redhat.com/architect/portfolio/detail/271-enterprise-rag-chatbot-interactive-experience","","","https://www.redhat.com/en/interactive-demo/centralize-company-knowledge-enterprise-rag-chatbot","https://www.redhat.com/architect/portfolio/detail/271-enterprise-rag-chatbot-interactive-experience","Centralize company knowledge with an Enterprise RAG Chatbot","","","","2026Summit manually added","Red Hat AI","","","AI Platform","","","","","","","Karl Eklund","AI BU","CY26Q2","Use retrieval-augmented generation (RAG) to enhance large language models with specialized data sources for more accurate and context-aware responses.","This interactive demo helps organizations empower employees with a private AI assistant grounded in trusted company data. It walks through the full experience of leveraging a Retrieval Augmented Generation (RAG) solution from start to finish. • Querying a generic AI assistant for information • Selecting an HR data collection to ground responses in company-specific policies • Reviewing how the RAG solution provides tailored answers based on internal data • Switching to a sales data collection to answer sales-specific questions • Adjusting the system prompt to refine the AI assistant's response format • Examining the architecture diagram, highlighting Red Hat OpenShift AI's role in orchestration and data ingestion","","","","","Centralize company knowledge with an Enterprise RAG Chatbot","260",""
"PAList+RM","https://www.redhat.com/en/interactive-demo/automate-mortgage-lending-multi-agent-ai","270","270-automate-mortgage-lending-with-multi-agent-ai-interactive-experience","Automate mortgage lending with multi-agent AI","TRUE","FALSE","FALSE","Automate mortgage lending processes using multi-agent AI systems. Explore how AI agents collaborate to streamline loan processing, risk assessment, and decision-making workflows.","All","AI Platform","","","IE","","IE/automate-mortgage-lending-with-multi-agent-ai-interactive-experience.adoc","Active","","TRUE","IE Published","https://www.redhat.com/architect/portfolio/detail/270-automate-mortgage-lending-with-multi-agent-ai-interactive-experience","","","https://www.redhat.com/en/interactive-demo/automate-mortgage-lending-multi-agent-ai","https://www.redhat.com/architect/portfolio/detail/270-automate-mortgage-lending-with-multi-agent-ai-interactive-experience","Automat mortgage lending with multi-agent AI","","","","2026Summit manually added","Red Hat Enterprise Linux","","","AI Platform","","","","","","","Karl Eklund","AI BU","CY26Q2","Red Hat AI reference application demonstrating agentic AI orchestration across the mortgage lending lifecycle, from prospect inquiry to underwriting approval.","This interactive demo showcases how multi-agent AI can transform complex financial workflows like mortgage lending. It helps organizations streamline operations and enhance decision-making with intelligent automation. • Interacting with an AI chat assistant (Lenora) to upload loan documents as a customer • Reviewing and approving loan application documents as a loan officer • Assessing loan application risk and compliance using an AI assistant as an underwriter • Exploring the Red Hat OpenShift AI console to deploy a large language model (LLM) and configure it as a Model as a Service (MaaS) • Configuring and testing AI models in the OpenShift AI Playground with custom prompts and Retrieval-Augmented Generation (RAG) • Monitoring AI agent traces and inputs/outputs in MLflow for observability • Deploying an AI agent using Kagenti with Agent-to-Agent (A2A) protocol and LangGraph framework","","","","","Automat mortgage lending with multi-agent AI","264",""
"PAList+RM","https://www.redhat.com/en/interactive-demo/welcome-digital-lemonade-stand","269","269-welcome-to-digital-lemonade-stand-interactive-experience","Welcome to Digital Lemonade Stand","TRUE","FALSE","FALSE","Discover the Digital Lemonade Stand interactive AI demonstration. Explore hands-on AI concepts and learning experiences through an engaging, approachable business simulation.","All","AI Platform","","","IE","","IE/welcome-to-digital-lemonade-stand-interactive-experience.adoc","Active","","TRUE","IE Published","https://www.redhat.com/architect/portfolio/detail/269-welcome-to-digital-lemonade-stand-interactive-experience","","","https://www.redhat.com/en/interactive-demo/welcome-digital-lemonade-stand","https://www.redhat.com/architect/portfolio/detail/269-welcome-to-digital-lemonade-stand-interactive-experience","Welcome to Digital Lemonade Stand","","","","2026Summit manually added","Red Hat Enterprise Linux","","","AI Platform","","","","","","","Anneli Sara Banderby Cansu Kavili Oernek","AI BU","CY26Q2","Deploy an AI-powered customer service assistant with built-in safety guardrails to ensure family-friendly, compliant interactions for your business.","This interactive demo showcases how to ensure AI assistant safety and reliability by implementing robust content moderation. It walks through the full experience of interacting with an AI chatbot and monitoring its guardrail performance. • Interacting with a Red Hat digital lemonade stand AI Assistant • Observing the regex detector fire when asking off-topic questions • Triggering the harmful content filter with inappropriate input • Testing the language detector by inputting non-English messages • Activating the prompt injection detector by attempting to jailbreak the system • Reviewing detection frequencies for various guardrails in a Grafana observability dashboard","","","","","Welcome to Digital Lemonade Stand","263",""
"PAList+RM","https://www.redhat.com/en/interactive-demo/ai-observability-summarizer-ai-quickstart","268","268-ai-observability-summarizer-ai-quickstart-interactive-experience","AI observability summarizer AI quickstart","TRUE","FALSE","FALSE","Get started with AI observability summarizer tools for automated monitoring insights. Learn how AI-powered observability platforms analyze metrics, logs, and traces to deliver actionable summaries.","All","AI Platform","","","IE","","IE/ai-observability-summarizer-ai-quickstart-interactive-experience.adoc","Active","","TRUE","IE Published","https://www.redhat.com/architect/portfolio/detail/268-ai-observability-summarizer-ai-quickstart-interactive-experience","","","https://www.redhat.com/en/interactive-demo/ai-observability-summarizer-ai-quickstart","https://www.redhat.com/architect/portfolio/detail/268-ai-observability-summarizer-ai-quickstart-interactive-experience","AI observability summarizer AI quickstart","","","","2026Summit manually added","Red Hat Enterprise Linux","","","AI Platform","","","","","","","Karl Eklund","AI BU","CY26Q2","Create an interactive dashboard to analyze AI model performance and OpenShift cluster metrics using Prometheus.","This interactive demo helps site reliability engineers gain AI-powered insights and recommendations from their observability data. It walks through the full experience of using an integrated console plugin for monitoring and analysis. • Monitoring vLLM model performance and resource utilization, including GPU temperature, power usage, and latency metrics. • Leveraging ""Analyze with AI"" for automatic summaries and recommendations on observability data. • Interacting with the ""AI Assistant"" to chat directly with data and customize chat settings by selecting models. • Viewing a unified Hardware Accelerator dashboard for NVIDIA GPU and Intel Gaudi metrics. • Drilling into OpenShift cluster health metrics by category and Namespace, and using ""Analyze with AI"" for insights. • Utilizing ""Chat with Prometheus"" to ask natural language questions about overall cluster and pod health.","","","","","AI observability summarizer AI quickstart","262",""
"PAList+RM","https://www.redhat.com/en/interactive-demo/prevent-ppe-safety-risks-real-time","267","267-prevent-ppe-safety-risks-in-real-time-interactive-experience","Prevent PPE safety risks in real-time","TRUE","FALSE","FALSE","Explore real-time PPE (personal protective equipment) safety risk prevention using AI-powered monitoring and alert systems. Learn how computer vision and AI detect safety violations instantly.","All","AI Platform","","","IE","","IE/prevent-ppe-safety-risks-in-real-time-interactive-experience.adoc","Active","","TRUE","IE Published","https://www.redhat.com/architect/portfolio/detail/267-prevent-ppe-safety-risks-in-real-time-interactive-experience","","","https://www.redhat.com/en/interactive-demo/prevent-ppe-safety-risks-real-time","https://www.redhat.com/architect/portfolio/detail/267-prevent-ppe-safety-risks-in-real-time-interactive-experience","Prevent PPE safety risks in real-time","","","","2026Summit manually added","Red Hat Enterprise Linux","","","AI Platform","","","","","","","Karl Eklund","AI BU","CY26Q2","Identify Personal Protective Equipment violoations in real-time to stay compliant and safe on the job.","This interactive demo helps organizations enhance workplace safety by proactively identifying Personal Protective Equipment (PPE) compliance issues. It walks through the full real-time monitoring and AI-powered analysis experience from start to finish. • Exploring the Multi Modal Monitoring System dashboard with video feed selectors and chat assistant. • Selecting a video source for real-time Personal Protective Equipment (PPE) compliance monitoring. • Observing AI-powered detection of hardhats, masks, and safety vests in a live video feed. • Reviewing generated safety trend summaries and compliance rates in the dashboard. • Switching to a new video feed for in-depth vehicle detection and traffic safety analysis. • Examining the high-level architecture, including the React frontend, AI backend, MinIO storage, and data-loader containers.","","","","","Prevent PPE safety risks in real-time","261",""
